,CLF,Batch_size,NB_WORDS,train_scores,test_scores
43,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",1024,1500,0.8134199134199134,0.8867924528301887
44,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",1024,2000,0.8320346320346321,0.8867924528301887
45,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=13))])",2048,20,0.5792207792207791,0.6415094339622641
46,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",2048,50,0.7290043290043291,0.8679245283018868
47,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",2048,100,0.8051948051948052,0.8301886792452831
48,"Pipeline(steps=[('scaler', MinMaxScaler()),
                ('linSVC', LinearSVC(C=1, loss='hinge'))])",2048,200,0.861038961038961,0.8490566037735849
49,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",2048,500,0.8688311688311687,0.8867924528301887
50,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",2048,700,0.8783549783549784,0.9056603773584906
51,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",2048,1000,0.8229437229437229,0.9433962264150944
52,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=0.1))])",2048,1500,0.8402597402597403,0.9056603773584906
53,"Pipeline(steps=[('scaler', MinMaxScaler()), ('linSVC', LinearSVC(C=7))])",2048,2000,0.8783549783549784,0.8679245283018868
